Time difference of 11.69235 hours
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinD
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinB
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinC
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinB
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinB
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinE
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinA
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CHB
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinF
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinG
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinE
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinC
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinD
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinC
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinC
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinF
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinB
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinA
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinG
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinH
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinF
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinD
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinE
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinD
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinG
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinC
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinB
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinH
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinI
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13CLinoKinG
reaction #61; stage UB; binary index 8; optim.step 1; tracer 13ChpAAb
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinE
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13CLinoKinF
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinF
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinE
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinE
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinH
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinG
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13CLinoKinD
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinC
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13CLinoKinI
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinI
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinH
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinJ
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13CLinoKinJ
